2000 Census Block,2000 Census Tract,Civil Court District,Congressional District,Fire Battalion,Fire Company Number,Fire Division,Health Area,Health Center District,Instructional Region,Sanitation Collection Scheduling Section and Subsection,State Senatorial District,Vacant Lot Flag,Assembly District,Election District,X Coordinate,Y Coordinate,Pseudo Address Flag,BBL,City Council District,School District (Confirmed),Building Classification Code,Complaint Type,Descriptor 1,Incident Address,Incident City,Borough,Incident Zip Code,Created Date,Police Precinct,Borough Command
1000,179,5,15,11,22,3,3120,16,,4B,30,N,69,17,992013,227905,N,1012410025,6,MANHATTAN District 3,D6,Noise - Residential,Loud Music/Party,201W WEST 93 STREET,NEW YORK,MANHATTAN,10025,10/1/10 0:00,Precinct 24,Manhattan North
1000,186,10,15,12,58,3,2400,11,,1B,30,N,68,61,997851,230879,N,1015960001,9,MANHATTAN District 3,D9,Noise - Residential,Banging/Pounding,70 LENOX AVENUE,NEW YORK,MANHATTAN,10026,10/1/10 0:00,Precinct 28,Manhattan North
1000,197,2,16,17,44,6,3320,22,,2B,28,N,77,58,1007232,243610,N,2024640023,16,BRONX District 9,D4,Noise - Residential,Loud Music/Party,1235 GRAND CONCOURS,BRONX,BRONX,10452,10/1/10 0:00,Precinct 44,Bronx
1000,197,2,16,17,44,6,3320,22,,2B,28,N,77,58,1007232,243610,N,2024640023,16,BRONX District 9,D4,Noise - Vehicle,Car/Truck Music,1235 GRAND CONCOURSE,BRONX,BRONX,10452,10/1/10 0:00,Precinct 44,Bronx
1000,200,10,15,12,14,3,1500,11,,1B,30,N,70,17,1000006,233211,N,1017230023,9,MANHATTAN District 5,D7,Noise - Commercial,Loud Music/Party,17 WEST 125 STREET,NEW YORK,MANHATTAN,10027,10/1/10 0:00,Precinct 28,Manhattan North
1000,213.02,2,16,17,49,6,2220,25,,3A,28,N,77,26,1007088,246780,N,2028720331,16,BRONX District 9,D1,Noise - Residential,Banging/Pounding,1515 MACOMBS ROAD,BRONX,BRONX,10452,10/1/10 0:00,Precinct 44,Bronx
1000,22.02,2,12,4,28,1,7600,14,,3A,25,N,74,10,989849,202077,N,1003720024,2,MANHATTAN District 1,C4,Noise - Residential,Loud Music/Party,302 EAST 3 STREET,NEW YORK,MANHATTAN,10009,10/1/10 0:00,Precinct 9,Manhattan South
1000,228,10,15,16,59,6,1000,11,,3B,30,N,70,39,1000924,236437,N,1020060030,9,MANHATTAN District 5,C7,Noise - Commercial,Loud Talking,541 LENOX AVENUE,NEW YORK,MANHATTAN,10037,10/1/10 0:00,Precinct 32,Manhattan North
1000,230,10,15,16,59,6,1000,11,,4B,30,N,70,45,1001171,237389,N,1020100018,9,MANHATTAN District 5,D1,Noise - Residential,Banging/Pounding,117 WEST 141 STREET,NEW YORK,MANHATTAN,10030,10/1/10 0:00,Precinct 32,Manhattan North
1000,231,2,10,31,210,11,1300,36,,3A,18,N,57,66,994873,189915,N,3019480058,35,BROOKLYN District 13,C1,Noise - Street/Sidewalk,Loud Talking,59 CLIFTON PLACE,BROOKLYN,BROOKLYN,11238,10/1/10 0:00,Precinct 88,Brooklyn North
1000,253,2,16,19,33,7,1520,25,,1B,33,N,86,43,1011021,253125,N,2031990053,14,BRONX District 10,D1,Noise - Residential,Banging/Pounding,2386 DAVIDSON AVENUE,BRONX,BRONX,10468,10/1/10 0:00,Precinct 52,Bronx
1000,253,2,16,19,33,7,1520,25,,1B,33,N,86,43,1011021,253125,N,2031990053,14,BRONX District 10,D1,Noise - Residential,Loud Music/Party,2386 DAVIDSON AVENUE,BRONX,BRONX,10468,10/1/10 0:00,Precinct 52,Bronx
1000,277,2,17,19,46,7,310,21,,1A,33,N,81,38,1011557,259702,N,2032610092,14,BRONX District 10,D1,Noise - Residential,Banging/Pounding,3300 BAILEY AVENUE,BRONX,BRONX,10463,10/1/10 0:00,Precinct 50,Bronx
1000,279,7,15,13,93,7,221,17,,3A,31,N,72,32,1003913,251405,N,1021700252,10,MANHATTAN District 6,D1,Noise - Vehicle,Car/Truck Music,390 WADSWORTH AVENUE,NEW YORK,MANHATTAN,10040,10/1/10 0:00,Precinct 34,Manhattan North
1000,283,2,7,49,154,14,1011,42,,2D,13,N,34,26,1016046,214320,N,4014300043,25,QUEENS District 30,D4,Noise - Residential,Banging/Pounding,33-33 82 STREET,JACKSON HEIGHTS,QUEENS,11372,10/1/10 0:00,Precinct 115,Queens North
1000,317.01,2,11,38,132,15,2900,32,,2A,20,N,43,5,998870,185015,N,3012270044,36,BROOKLYN District 17,C1,Noise - Residential,Loud Music/Party,170 NEW YORK AVENUE,BROOKLYN,BROOKLYN,11216,10/1/10 0:00,Precinct 77,Brooklyn North
1000,326,8,8,43,166,8,9020,37,,2B,23,N,46,70,988688,149390,N,3070210050,47,BROOKLYN District 21,K1,Noise - Commercial,Loud Music/Party,1621 MERMAID AVENUE,BROOKLYN,BROOKLYN,11224,10/1/10 0:00,Precinct 60,Brooklyn South
1000,329,4,11,38,249,15,4800,32,,2B,20,N,43,44,1000033,181220,N,3013250022,40,BROOKLYN District 17,D1,Noise - Street/Sidewalk,Loud Talking,580 EMPIRE BOULEVARD,BROOKLYN,BROOKLYN,11225,10/1/10 0:00,Precinct 71,Brooklyn South
1000,357,4,11,38,123,15,5020,32,,3A,20,N,55,63,1004704,183826,N,3013800031,41,BROOKLYN District 17,C1,Noise - Residential,Loud Talking,1588 STERLING PLACE,BROOKLYN,BROOKLYN,11213,10/1/10 0:00,Precinct 77,Brooklyn North
1000,375,2,10,37,222,15,3100,34,,5A,18,N,56,79,1006568,189505,N,3014860053,41,BROOKLYN District 16,C1,Noise - Residential,Loud Music/Party,977 JEFFERSON AVENUE,BROOKLYN,BROOKLYN,11221,10/1/10 0:00,Precinct 81,Brooklyn North
1000,381,2,5,49,316,14,1100,42,,,13,,35,16,1024133,215131,,,21,QUEENS District 24,Un,Noise - Residential,Loud Music/Party,,CORONA,QUEENS,11368,10/1/10 0:00,Precinct 115,Queens North
1000,393,2,16,18,88,7,1100,21,,1B,34,,78,5,1016753,250469,,,15,BRONX District 10,Un,Noise - Vehicle,Car/Truck Music,2417 PROSPECT AVENUE,BRONX,BRONX,10458,10/1/10 0:00,Precinct 48,Bronx
1000,394,1,17,27,62,7,610,24,,3C,36,Y,83,48,1022174,262736,Y,2048260038,12,BRONX District 11,Un,Noise - Residential,Loud Music/Party,637 EAST 224 STREET,BRONX,BRONX,10466,10/1/10 0:00,Precinct 47,Bronx
1000,41,1,10,31,207,11,2400,38,,2B,18,N,52,67,988699,189716,N,3001720068,33,BROOKLYN District 15,M1,Noise - House of Worship,Loud Music/Party,369 STATE STREET,BROOKLYN,BROOKLYN,11217,10/1/10 0:00,Precinct 84,Brooklyn North
1000,43,2,8,2,20,1,6800,15,,1G,25,N,66,21,986234,203126,N,1005070023,1,MANHATTAN District 2,L8,Noise - Street/Sidewalk,Loud Music/Party,89A EAST HOUSTON STREET,NEW YORK,MANHATTAN,10012,10/1/10 0:00,Precinct 5,Manhattan South
1000,43,2,8,2,20,1,6800,15,,,25,,66,21,986300,203099,,,1,MANHATTAN District 2,Un,Noise - Street/Sidewalk,Loud Music/Party,,NEW YORK,MANHATTAN,10012,10/1/10 0:00,Precinct 5,Manhattan South
1000,456,6,11,41,250,15,7120,35,,,27,,44,67,993389,168598,,,45,BROOKLYN District 22,Un,Noise - Residential,Loud Music/Party,,BROOKLYN,BROOKLYN,11230,10/1/10 0:00,Precinct 70,Brooklyn South
1000,490,6,11,41,250,15,7000,35,,5E,21,N,44,83,991991,172546,N,3053760076,39,BROOKLYN District 20,D4,Noise - Residential,Loud Music/Party,465 EAST 7 STREET,BROOKLYN,BROOKLYN,11218,10/1/10 0:00,Precinct 66,Brooklyn South
1000,511,3,7,46,288,14,1700,46,,5E,15,N,30,76,1013192,204775,N,4023980035,30,QUEENS District 24,S2,Noise - Commercial,Loud Music/Party,54-12 69 STREET,MASPETH,QUEENS,11378,10/1/10 0:00,Precinct 104,Queens North
1000,549,3,12,45,140,14,2200,46,,3C,12,N,37,57,1010689,195587,N,4034700033,34,QUEENS District 24,C0,Noise - Residential,Loud Music/Party,1879 MADISON STREET,RIDGEWOOD,QUEENS,11385,10/1/10 0:00,Precinct 104,Queens North
1000,55.02,2,8,6,9,1,5700,15,,2A,29,N,66,25,986430,204276,N,1005310037,1,MANHATTAN District 2,K1,Noise - Residential,Loud Music/Party,40 EAST 4 STREET,NEW YORK,MANHATTAN,10003,10/1/10 0:00,Precinct 9,Manhattan South
1000,556,4,6,53,162,14,2910,44,,3C,11,N,33,17,1055531,204217,N,4106630095,23,QUEENS District 29,A1,Noise - Residential,Loud Music/Party,89-84 219 STREET,QUEENS VILLAGE,QUEENS,11427,10/1/10 0:00,Precinct 105,Queens South
1000,569,3,12,28,106,11,100,30,,3B,25,N,50,76,998021,203030,N,3026470031,33,BROOKLYN District 14,C7,Noise - Commercial,Loud Talking,95 NASSAU AVENUE,BROOKLYN,BROOKLYN,11222,10/1/10 0:00,Precinct 94,Brooklyn North
1000,654,8,9,33,309,15,8821,35,,,22,,59,87,1002705,162963,,,46,BROOKLYN District 22,Un,Noise - Residential,Loud Music/Party,,BROOKLYN,BROOKLYN,11234,10/1/10 0:00,Precinct 63,Brooklyn South
1000,70,4,14,8,7,3,5800,14,,2A,26,N,74,98,991231,210453,N,1009390047,2,MANHATTAN District 2,C4,Noise - Residential,Loud Music/Party,324 EAST 34 STREET,NEW YORK,MANHATTAN,10016,10/1/10 0:00,Precinct 17,Manhattan South
1000,798,6,11,38,249,15,5320,35,,2A,20,N,43,60,995681,180127,N,3013270026,40,BROOKLYN District 17,D1,Noise - Vehicle,Car/Truck Music,115 LINCOLN ROAD,BROOKLYN,BROOKLYN,11225,10/1/10 0:00,Precinct 71,Brooklyn South
1000,82,5,12,40,228,8,6600,39,,2E,18,N,51,25,982572,176685,N,3007140014,38,BROOKLYN District 15,C1,Noise - Residential,Loud Music/Party,420 40 STREET,BROOKLYN,BROOKLYN,11232,10/1/10 0:00,Precinct 72,Brooklyn South
1000,91,9,8,7,1,1,5200,15,,2A,26,,75,36,986233,210847,,,3,MANHATTAN District 2,Un,Noise - Street/Sidewalk,Loud Talking, WEST 26 STREET,NEW YORK,MANHATTAN,10001,10/1/10 0:00,Precinct 13,Manhattan South
1000,97,3,8,7,24,1,5500,15,,2A,29,N,75,47,985267,212563,N,1007530056,3,MANHATTAN District 2,D5,Noise - Residential,Banging/Pounding,330 WEST 30 STREET,NEW YORK,MANHATTAN,10001,10/1/10 0:00,Precinct 14,Manhattan South
1001,108,3,6,51,285,13,3100,45,,1E,15,N,27,75,1031164,190193,N,4094150052,28,QUEENS District 27,C2,Noise - Residential,Loud Talking,113-07 101 AVENUE,SOUTH RICHMOND HILL,QUEENS,11419,10/1/10 0:00,Precinct 102,Queens South
1001,112.01,2,13,21,81,8,910,51,,2E,24,N,60,26,962188,150627,N,5034810008,50,STATEN ISLAND District 31,C0,Noise - Residential,Loud Music/Party,730 SEAVIEW AVENUE,STATEN ISLAND,STATEN ISLAND,10305,10/1/10 0:00,Precinct 122,Staten Island
1001,121,1,13,22,156,8,300,51,,2E,24,N,61,39,954304,168925,N,5002760050,49,STATEN ISLAND District 31,K5,Noise - Commercial,Loud Talking,530 FOREST AVENUE,STATEN ISLAND,STATEN ISLAND,10310,10/1/10 0:00,Precinct 120,Staten Island
1001,121,3,8,9,54,3,4500,15,,3A,29,N,75,88,986619,216179,N,1010350001,3,MANHATTAN District 2,L8,Noise - Residential,Loud Music/Party,630 9 AVENUE,NEW YORK,MANHATTAN,10036,10/1/10 0:00,Precinct 14,Manhattan South
1001,138,6,14,10,22,3,3700,13,,4B,26,N,65,60,997819,221510,N,1015450030,5,MANHATTAN District 2,D6,Noise - Commercial,Loud Music/Party,1589 1 AVENUE,NEW YORK,MANHATTAN,10028,10/1/10 0:00,Precinct 19,Manhattan North
1001,16,2,14,4,15,1,7400,14,,2B,25,,64,57,986931,200530,,,1,MANHATTAN District 2,Un,Noise - Residential,Loud Music/Party, GRAND STREET,NEW YORK,MANHATTAN,10002,10/1/10 0:00,Precinct 7,Manhattan South
1001,173,5,15,11,74,3,3220,16,,3A,30,N,69,4,992669,226339,N,1012020057,6,MANHATTAN District 3,C6,Noise - Street/Sidewalk,Loud Talking,62 WEST 89 STREET,NEW YORK,MANHATTAN,10024,10/1/10 0:00,Precinct 24,Manhattan North
1001,18,2,12,4,18,1,7400,14,,,25,,64,53,986848,201871,,,1,MANHATTAN District 1,Un,Noise - Street/Sidewalk,Loud Music/Party,,NEW YORK,MANHATTAN,10002,10/1/10 0:00,Precinct 5,Manhattan South
1001,18,4,9,51,293,13,2500,45,,2E,15,,38,26,1024825,191824,,,32,QUEENS District 27,Un,Noise - Residential,Banging/Pounding,91-14 JAMAICA AVENUE,WOODHAVEN,QUEENS,11421,10/1/10 0:00,Precinct 102,Queens South
1001,183,1,10,31,210,11,1200,36,,4D,18,N,50,4,992238,191259,N,3020740001,35,BROOKLYN District 13,S4,Noise - Residential,Loud Music/Party,47 WILLOUGHBY AVENUE,BROOKLYN,BROOKLYN,11205,10/1/10 0:00,Precinct 88,Brooklyn North
1001,195,2,16,17,44,6,3320,22,,2A,28,N,84,8,1005924,242786,N,2024780024,16,BRONX District 9,C1,Noise - Residential,Banging/Pounding,1114 GERARD AVENUE,BRONX,BRONX,10452,10/1/10 0:00,Precinct 44,Bronx
1001,199,7,15,11,47,3,2310,16,,1A,30,N,69,82,994222,232749,N,1018840156,9,MANHATTAN District 3,C5,Noise - Residential,Loud Talking,556 WEST 113 STREET,NEW YORK,MANHATTAN,10025,10/1/10 0:00,Precinct 26,Manhattan North
1001,20,2,12,4,28,1,7600,14,,3A,25,N,74,6,990451,202132,N,1003560001,2,MANHATTAN District 1,D3,Noise - Residential,Banging/Pounding,40 AVENUE D,NEW YORK,MANHATTAN,10009,10/1/10 0:00,Precinct 9,Manhattan South
1001,235.01,10,15,13,34,7,710,17,,3B,30,N,71,18,1000677,240969,N,1020540046,7,MANHATTAN District 6,D1,Noise - Residential,Loud Music/Party,381 EDGECOMBE AVENUE,NEW YORK,MANHATTAN,10031,10/1/10 0:00,Precinct 30,Manhattan North
1001,243,2,10,57,102,11,2800,32,,,18,,56,81,997791,190083,,,36,BROOKLYN District 13,Un,Noise - Street/Sidewalk,Loud Talking,,BROOKLYN,BROOKLYN,11216,10/1/10 0:00,Precinct 79,Brooklyn North
1001,277,2,17,19,46,7,310,21,,,33,,78,57,1012010,259448,,,11,BRONX District 10,Un,Noise - Residential,Loud Music/Party,,BRONX,BRONX,10463,10/1/10 0:00,Precinct 50,Bronx
1001,295,2,7,49,117,14,620,42,,5D,12,N,30,18,1009979,215093,N,4011110001,22,QUEENS District 30,D4,Noise - Street/Sidewalk,Loud Talking,54-17 31 AVENUE,WOODSIDE,QUEENS,11377,10/1/10 0:00,Precinct 114,Queens North
1001,319,6,11,38,132,15,4800,32,,1A,20,N,43,18,997941,182725,N,3012760001,35,BROOKLYN District 17,C7,Noise - Commercial,Loud Music/Party,835 NOSTRAND AVENUE,BROOKLYN,BROOKLYN,11225,10/1/10 0:00,Precinct 71,Brooklyn South
1001,334.01,4,6,50,133,13,3532,44,,,10,,32,37,1049280,187692,,,27,QUEENS District 28,Un,Noise - Commercial,Car/Truck Music,,JAMAICA,QUEENS,11434,10/1/10 0:00,Precinct 113,Queens South
1001,351,4,11,38,234,15,5010,32,,3B,20,N,56,6,1002817,183634,N,3013840013,36,BROOKLYN District 17,C7,Noise - Commercial,Loud Music/Party,1358 ST JOHNS PLACE,BROOKLYN,BROOKLYN,11213,10/1/10 0:00,Precinct 77,Brooklyn North
1001,369.02,2,16,18,58,7,1900,25,,2A,36,N,79,22,1013393,246253,N,2029440005,15,BRONX District 12,D1,Noise - Residential,Banging/Pounding,657 CROTONA PARK NO,BRONX,BRONX,10457,10/1/10 0:00,Precinct 48,Bronx
1001,38,1,7,3,96,6,3030,26,,4C,32,N,85,14,1022004,238076,N,2035980017,18,BRONX District 8,D1,Noise - Residential,Loud Music/Party,740 BEACH AVENUE,BRONX,BRONX,10473,10/1/10 0:00,Precinct 43,Bronx
1001,38,2,8,4,11,1,6500,14,,4B,29,N,66,54,987930,204575,N,1004490017,2,MANHATTAN District 1,D1,Noise - Residential,Loud Music/Party,56 ST MARKS PLACE,NEW YORK,MANHATTAN,10003,10/1/10 0:00,Precinct 9,Manhattan South
1001,38,2,8,4,11,1,6500,14,,4B,29,N,66,54,988017,204239,N,1004490041,2,MANHATTAN District 1,C7,Noise - Commercial,Loud Talking,81 EAST 7 STREET,NEW YORK,MANHATTAN,10003,10/1/10 0:00,Precinct 9,Manhattan South
1001,382,8,8,43,161,8,8620,37,,1D,27,N,47,7,988589,155049,N,3071370001,47,BROOKLYN District 21,D3,Noise - Residential,Loud Music/Party,2249 STILLWELL AVENUE,BROOKLYN,BROOKLYN,11223,10/1/10 0:00,Precinct 60,Brooklyn South
1001,382,8,8,43,161,8,8620,37,,1D,27,N,47,7,988843,155569,N,3071370001,47,BROOKLYN District 21,D3,Noise - Residential,Loud Music/Party,30 AVENUE V,BROOKLYN,BROOKLYN,11223,10/1/10 0:00,Precinct 60,Brooklyn South
1001,42,2,14,6,3,1,6200,14,,4B,29,N,66,65,987026,206299,N,1005587502,2,MANHATTAN District 1,R0,Noise - Residential,Loud Music/Party,115 4 AVENUE,NEW YORK,MANHATTAN,10003,10/1/10 0:00,Precinct 9,Manhattan South
1001,446.01,4,6,50,125,13,2810,44,,1D,14,N,29,85,1040249,196797,N,4097930033,24,QUEENS District 28,D1,Noise - Residential,Banging/Pounding,89-29 163 STREET,JAMAICA,QUEENS,11432,10/1/10 0:00,Precinct 103,Queens South
1001,458,1,17,15,38,7,710,24,,3E,36,N,83,59,1026897,262273,N,2049050001,12,BRONX District 11,D3,Noise - Residential,Banging/Pounding,1135 EAST 229 STREET,BRONX,BRONX,10466,10/1/10 0:00,Precinct 47,Bronx
1001,514,6,11,41,147,15,7210,35,,1A,21,N,42,43,995658,174073,N,3051510012,40,BROOKLYN District 22,D1,Noise - Residential,Loud Music/Party,400 EAST 21 STREET,BROOKLYN,BROOKLYN,11226,10/1/10 0:00,Precinct 70,Brooklyn South
1001,553,3,12,35,104,11,400,30,,2B,17,N,50,68,995832,200633,N,3023280001,33,BROOKLYN District 14,C7,Noise - Commercial,Loud Music/Party,197 BEDFORD AVENUE,BROOKLYN,BROOKLYN,11211,10/1/10 0:00,Precinct 94,Brooklyn North
1001,67,2,16,14,55,6,3900,23,,1B,32,N,84,45,1007614,237809,N,2023760032,17,BRONX District 7,C1,Noise - Residential,Loud Music/Party,415 EAST 154 STREET,BRONX,BRONX,10455,10/1/10 0:00,Precinct 40,Bronx
1001,888,4,11,58,283,15,5810,33,,1B,19,N,58,62,1006883,178494,N,3046910007,42,BROOKLYN District 18,C1,Noise - Residential,Loud Music/Party,1078 WILLMOHR STREET,BROOKLYN,BROOKLYN,11212,10/1/10 0:00,Precinct 67,Brooklyn South
1001,890,4,11,58,283,15,5810,33,,1B,19,N,55,88,1006653,179870,N,3046520069,41,BROOKLYN District 23,D1,Noise - Residential,Loud Music/Party,275 ROACKAWAY PARKWAY,BROOKLYN,BROOKLYN,11212,10/1/10 0:00,Precinct 67,Brooklyn South
1002,166,3,6,50,126,13,3220,45,,2D,10,N,31,78,1033315,188547,N,4095990001,28,QUEENS District 27,C3,Noise - Residential,Banging/Pounding,107-05 LEFFERTS BOULEVARD,SOUTH RICHMOND HILL,QUEENS,11419,10/1/10 0:00,Precinct 106,Queens South
1002,193,2,10,31,119,11,1300,36,,1A,18,N,57,107,995430,191278,N,3019240036,35,BROOKLYN District 14,C1,Noise - Residential,Loud Music/Party,232 TAAFFE PLACE,BROOKLYN,BROOKLYN,11205,10/1/10 0:00,Precinct 79,Brooklyn North
1002,223.01,7,15,16,80,6,900,17,,,31,,70,78,996684,238064,,,7,MANHATTAN District 6,Un,Noise - Residential,Loud Music/Party,,NEW YORK,MANHATTAN,10031,10/1/10 0:00,Precinct 30,Manhattan North
1002,224.01,1,7,20,41,7,1210,26,,1C,32,N,80,29,1020358,250646,N,2043170001,13,BRONX District 11,D1,Noise - Residential,Loud Music/Party,2144 BRONX PARK EAST,BRONX,BRONX,10462,10/1/10 0:00,Precinct 49,Bronx
1002,241,7,15,13,34,7,610,17,,1B,30,N,71,24,999348,242867,N,1021140005,7,MANHATTAN District 6,D7,Noise - Residential,Loud Music/Party,3750 BROADWAY,NEW YORK,MANHATTAN,10032,10/1/10 0:00,Precinct 33,Manhattan North
1002,243.02,7,15,16,69,6,800,11,,4A,30,N,71,27,1001722,241579,N,1021060003,9,MANHATTAN District 5,D7,Noise - Residential,Banging/Pounding,2949 8 AVENUE,NEW YORK,MANHATTAN,10039,10/1/10 0:00,Precinct 32,Manhattan North
1002,247,7,15,13,84,7,500,17,,1B,31,N,71,48,999572,244894,N,1021360220,7,MANHATTAN District 6,D1,Noise - Vehicle,Car/Truck Music,664 WEST 163 STREET,NEW YORK,MANHATTAN,10032,10/1/10 0:00,Precinct 33,Manhattan North
1002,31,2,16,14,83,6,4100,23,,2A,32,N,84,69,1010120,235138,N,2025820030,17,BRONX District 7,C1,Noise - Residential,Banging/Pounding,520 TINTON AVENUE,BRONX,BRONX,10455,10/1/10 0:00,Precinct 40,Bronx
1002,324,1,7,15,97,7,820,24,,2C,34,N,80,52,1023070,254059,N,2044470024,13,BRONX District 11,C1,Noise - Residential,Loud Talking,2556 COLDEN AVENUE,BRONX,BRONX,10469,10/1/10 0:00,Precinct 49,Bronx
1002,383,2,9,46,324,14,1200,46,,,16,,27,85,1026953,207604,,,24,QUEENS District 28,Un,Noise - Vehicle,Engine Idling,,FOREST HILLS,QUEENS,11375,10/1/10 0:00,Precinct 112,Queens North
1002,397,7,12,37,112,15,3400,34,,3A,17,N,56,80,1007030,189868,N,3033800014,37,BROOKLYN District 32,C0,Noise - Residential,Loud Television,14 CORNELIA STREET,BROOKLYN,BROOKLYN,11221,10/1/10 0:00,Precinct 83,Brooklyn North
1002,415,2,17,27,37,7,420,21,,2B,33,N,78,33,1016416,256385,N,2032920101,11,BRONX District 10,B3,Noise - Residential,Banging/Pounding,2987 PERRY AVENUE,BRONX,BRONX,10458,10/1/10 0:00,Precinct 52,Bronx
1002,425,2,17,27,37,7,420,21,,3B,33,N,81,1,1018502,257552,N,2033490024,11,BRONX District 10,C1,Noise - Residential,Banging/Pounding,346 EAST 205 STREET,BRONX,BRONX,10467,10/1/10 0:00,Precinct 52,Bronx
1002,454,8,11,33,153,15,7120,35,,6C,22,N,45,74,994065,164247,N,3065730001,44,BROOKLYN District 21,M1,Noise - Residential,Banging/Pounding,1002 AVENUE M,BROOKLYN,BROOKLYN,11230,10/1/10 0:00,Precinct 66,Brooklyn South
1002,47,2,16,14,17,6,3800,23,,1A,28,N,84,29,1004846,235563,N,2023250001,17,BRONX District 7,D3,Noise - Residential,Loud Music/Party,320 MORRIS AVENUE,BRONX,BRONX,10451,10/1/10 0:00,Precinct 40,Bronx
1002,514,6,11,41,147,15,7210,35,,1A,21,,42,40,995052,173928,,,40,BROOKLYN District 22,Un,Noise - Street/Sidewalk,Loud Music/Party,229 EAST 19 STREET,BROOKLYN,BROOKLYN,11226,10/1/10 0:00,Precinct 70,Brooklyn South
1002,519,3,12,35,229,11,700,30,,3B,17,N,50,70,997257,200436,N,3023070027,33,BROOKLYN District 14,V1,Noise - Vehicle,Engine Idling,261 NORTH 9 STREET,BROOKLYN,BROOKLYN,11211,10/1/10 0:00,Precinct 94,Brooklyn North
1002,549,3,12,45,140,14,2200,46,,3C,12,N,37,55,1010257,196209,N,4034680039,34,QUEENS District 24,S2,Noise - Commercial,Loud Television,678 WOODWARD AVENUE,RIDGEWOOD,QUEENS,11385,10/1/10 0:00,Precinct 104,Queens North
1002,55.02,2,8,6,9,1,5700,15,,1G,29,N,66,25,986135,203597,N,1005290050,1,MANHATTAN District 2,C5,Noise - Commercial,Loud Music/Party,17 BLEECKER STREET,NEW YORK,MANHATTAN,10001,10/1/10 0:00,Precinct 9,Manhattan South
